id,parentId,name,image
58,8,The Egyptian International Publishing Company-Longman,https://dammzie.github.io/6095138353a8bf00040ff37a.png
59,1,Pearson Funding Four Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
60,1,Pearson Funding plc,https://dammzie.github.io/6095138353a8bf00040ff37a.png
61,1,Pearson International Finance Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
62,1,Pearson Management Services Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
63,1,Pearson Nominees Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
64,1,Pearson Overseas Holdings Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
65,64,Cogmed Systems AB,https://dammzie.github.io/6095138353a8bf00040ff37a.png
66,64,Dorian Finance Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
67,64,Pearson Benelux B.V.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
68,64,Pearson Brazil Finance Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
69,64,Pearson Canada Assessment Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
70,64,Pearson Canada Holdings Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
71,70,Pearson Canada Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
72,70,"Pearson Educational Measurement Canada, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
73,64,Pearson Dollar Finance Two Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
74,73,Lion SG Pte. Ltd.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
75,73,Pearson Loan Finance No.5 Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
76,75,Pearson Loan Finance No.6 Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
77,64,Pearson Educacion SA,https://dammzie.github.io/6095138353a8bf00040ff37a.png
78,64,"Pearson Education, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
79,78,Academy of Pop LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
80,78,"Addison Wesley Longman, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
81,78,Addison-Wesley Educational Publishers Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
82,78,ATI Professional Development LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
83,78,"Camsaw, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
84,78,"CAMSAWUSA, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
85,78,"Clutch Learning, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
86,78,"Connections Education, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
87,86,Connections Education LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
88,87,"Connections Academy of Florida, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
89,87,"Connections Academy of Iowa, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
90,87,"Connections Academy of Maine, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
91,87,"Connections Academy of Maryland, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
92,87,"Connections Academy of Nevada, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
93,87,"Connections Academy of New Mexico, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
94,87,"Connections Academy of Oregon, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
95,87,Connections Academy of Pennsylvania LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
96,87,"Connections Academy of Tennessee, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
97,87,Connections Academy of Texas LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
98,87,"Connections Education of Florida, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
99,78,"Dominie Press, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
100,78,"Educational Management Group, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
101,78,Globe Fearon Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
102,101,"Dyned International, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
103,78,"Intellipro, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
104,78,"LessonLab, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
105,78,Lignum Oil Company,https://dammzie.github.io/6095138353a8bf00040ff37a.png
106,78,"Lumerit Education, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
107,78,Pearson America LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
108,78,Pearson Business Services Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
109,108,"FBH, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
110,109,Sound Holdings Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
111,78,Pearson DBC Holdings Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
112,78,Pearson Education Investments Limited,https://dammzie.github.io/6095138353a8bf00040ff37a.png
113,112,Axis Finance Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
114,112,Pearson Holdings Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
115,114,Pearson Real Estate Holdings Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
116,114,Reading Property Holdings LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
117,114,Rycade Capital Corporation,https://dammzie.github.io/6095138353a8bf00040ff37a.png
118,78,"Pearson Educational Publishers, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
119,78,Pearson Falstaff (Holdings) Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
120,119,Falstaff Holdco Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
121,119,Falstaff Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
122,119,Pearson Falstaff Holdco LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
123,78,"Pearson Investment Holdings, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
124,123,"Dimensionu, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
125,123,"Language Technologies, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
126,123,"Learn Capital Special Opportunities Fund I, L.P.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
127,123,"Learn Capital Venture Partners II, L.P.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
128,123,"Learn Capital Venture Partners IIIA, L.P.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
129,123,"Learn Capital Venture Partners IV, L.P.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
130,123,"Learn Capital Venture Partners, L.P.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
131,78,"Pearson Maryland, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
132,78,Pearson Phoenix Pty Ltd,https://dammzie.github.io/6095138353a8bf00040ff37a.png
133,132,Sparrow.Phoenix Pty Ltd,https://dammzie.github.io/6095138353a8bf00040ff37a.png
134,78,"Penguin Capital, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
135,78,PN Holdings Inc.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
136,135,"NCS Pearson, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
137,136,Century Consultants Ltd.,https://dammzie.github.io/6095138353a8bf00040ff37a.png
138,136,"Certiport, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
139,138,Certiport China Co Ltd,https://dammzie.github.io/6095138353a8bf00040ff37a.png
140,138,"Certiport China Holding, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
141,138,"MeasureUp of Delaware, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
142,136,"Credly, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
143,136,eCollege.com,https://dammzie.github.io/6095138353a8bf00040ff37a.png
144,136,"English Language Learning and Instruction System, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
145,136,Faethm USA LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
146,136,GED Testing Service LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
147,146,GED Domains LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
148,136,"Integral 7, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
149,136,"Knowledge Analysis Technologies, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
150,136,"MZ Development, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
151,136,National Computer Systems Japan Co. Ltd,https://dammzie.github.io/6095138353a8bf00040ff37a.png
152,136,"Navvy Education, LLC",https://dammzie.github.io/6095138353a8bf00040ff37a.png
153,136,NCS Information Technology Services (Beijing) Co Ltd,https://dammzie.github.io/6095138353a8bf00040ff37a.png
154,136,"NCS Pearson Puerto Rico, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
155,136,Opinion Interactive LLC,https://dammzie.github.io/6095138353a8bf00040ff37a.png
156,136,Ordinate Corporation,https://dammzie.github.io/6095138353a8bf00040ff37a.png
157,136,"Pearson Digital Learning Puerto Rico, Inc.",https://dammzie.github.io/6095138353a8bf00040ff37a.png
